doc0: instruments; Archimandrite; Agathocles; anatomy; glutathione; Indic scripts; hydrogen ion; population pyramid; E-mail advertising; maximum transfer; John Philoponus; national average; crime rate; Southeast Asia; always respect; volleyball at; Pope Honorius; Summer Paralympics; body parts; below the national average; 
doc2083: KLA-Tencor; Schroeder's; Schroeder; Accomplishments; Yasmin; nationally recognized; air traffic; software developed; currently available; having suffered; compilation album of recordings; widely reported; East Jerusalem; Championships in Athletics; small building; World Championships; national teams; further back; normal life; good chance; 
doc2084: ethereal; Elachistidae; instrumentation; dynamically; different; Water Gave; Elachistidae family; What the Water Gave; several different; half minutes; Siouxsie and the Banshees; British folk; moth of the Elachistidae; minutes long; Western Australia; four players; early October; minutes into; Adults are; breaks down; 
doc2085: Pomerania-Stettin; Bogislaw; Characteristic; ex-soldier; annotations; Bogislaw XIII; Albert Museum; ruling duke; Victoria and Albert; private collections; English Department; Indian politician; Legislative Assembly; He represents; more detail; The Journal; Duke Barnim; His research; University of Illinois; legal basis; 
doc2086: Nizamia; Hadhrat; Vice-Chancellor; Jamia; São; Jamia Nizamia; Hadhrat Shaykh Ul; many of the religious; greatly increased; Santa Cruz; describes their music; made many; much inspired; then appointed; São Miguel; During his tenure; civil parish; Plot summary; Holy Cross; been much; 
doc2087: responsibilities; Turubamba; Ghalib; Elachistidae; partitioned; Elachistidae family; theological studies; occupying part; OSS Detachment; Civil Affairs; Prince Philip; moth of the Elachistidae; Pulitzer Prize; home village; They decide; other units; Her husband; units such; Ivory Coast; take a picture; 
doc2088: predator; takin; predators; opportunistic; leopard; predator of takin; occasionally killed; only confirmed; snow leopard; their size; been reported; long since; they can; The main; they are; have been; may be; 
doc2089: pan-Germanist; nationalist; Freedom; Minutemen; Satin; nationalist movement; Freedom Party; Animation Domination; Massachusetts Amherst; coalition government; University of Massachusetts Amherst; association football; independent state; UMass Minutemen; represented the University; rural districts; Social Democrats; football team represented the University; determine whether; meeting to determine whether; 
doc2090: categories; superstructure; VMB; dilapidated; Archaeology; Best Album; prominently featured; previous edition; The temple; largely written; better contract; Scotti Brothers; Hit of the Year; surrounding area; written and produced; solo careers; new category; displayed at right; pop artists; The station; 
doc2091: Quarter-finals; amendment; Songwriter; disposable; Columnist; tax rates; Felipe González; UMass Minutemen; classic example; Civil Liberties; Norwegian jazz; black shoes; public pay; Tony Blair; income tax; The Irish; album by the band; football team; West Coast; has worked; 
doc2092: co-directed; Condamine; Rockstar; Howarde; Foragel; Rockstar Spud; Blossom Twins; Marty Scurll; first Australian; Total Nonstop Action Wrestling; invited guests; produced and presented; Total Nonstop; Oscar Wilde's; third episode; other actors; final episode; began airing; Hulk Hogan; film industry; 
doc2093: wheelchair; parishioners; basketball; kindergarten; modifications; wheelchair basketball; Sacred Heart; clinical treatment; travel expenses; Summer Paralympics; art department; lesbian couple; computer labs; science labs; started playing; He first started playing; Piano Sonata; B-flat major; built during; March 2011; 
doc2094: TCWC; Tropical; tropical; dissipated; Ningbo; weak tropical; TCWC Darwin; Tropical Weather Outlook; weak tropical low had formed; TCWC Perth; TCWC Darwin reported that a weak; weak tropical low had developed; Tropical Disturbance; TCWC Perth reported that a weak; 08F moved; Italian Renaissance; next day; tennis tournament; tournament held; towards the southeast; 
doc2095: Conservatory; Tanglewood; formula_15; Schnabel; Lust; England Conservatory; concert pianist; Peter Drucker; Leonard Shure; Music Festival; Kurdistan Regional; Leonard Bernstein; close associate; While attending; Tanglewood Music Center; become involved; Gilbert Kalish; New England; little chance; Leon Fleisher; 
doc2096: Theatre; Staatsoper; Theatro; Plowman; Republican; Ancient Theatre; Republican primary; Concert Hall; national president; Olympia Snowe; After finishing; Monnaie in Brussels; prelate of the Roman Catholic; Catholic Church; Dungeons & Dragons; capital city; last place; Secretary of State; Roman Catholic; – August; 
doc2097: Hongmei; Taylorstown; Pavilion; Changzhou; miniseries; Hongmei Pavilion; Papyrus Oxyrhynchus; Qu Qiubai; exceptional cases; last performance; public authority; stone structure; whole building; English courts; originally aired; historic district; world champion; something new; 2012 London Olympics; World Championships; 
doc2098: Xuzhou; Britain's; involvement; pamphlet; Residential; comprehensive university; Jiangsu province; university located; Chinese Ministry; Adana Province; five editions; Institute of Technology; Ministry of Education; The work; first published; He ordered; hamlet in the parish; went through; which included; Board of Trustees; 
doc2099: Hammerl; Spudders; Jamison; President; Binay; Palm Springs; Hammerl was alive; Hammerl was alive and well; independent sources; Baluchestan Province; alive and well; other influential; professional baseball; members included; foreign affairs; Mutual Life Insurance; Sistan and Baluchestan; Other members; The Liberals; Central Bank; 
doc2100: Felton; Paddon; Brisbane; wagons; Varner; Elle Varner; American singer-songwriter; features American rapper; freight traffic; Brisbane River; digital download; Spanish language; recording artist; song features; Title match; debut single; This resulted; debut studio; only single; never in doubt; 
doc2101: Bond; regular-season; uncovering; establishes; instalment; regular-season games; The Flex; successful in repelling; mortally wounded; Secret Service; She attended; 2013 season; its design; active duty; under the command; March 15; over her; March 29; while he; went on to win; 
doc2102: Sacketts; jurisdictional; Compliance; Sugiyama; graph; administrative compliance; Compliance Order; graph drawing; judicial review; granted certiorari; Environmental Protection Agency; The plaintiffs; Ninth Circuit; Circuit Court; other topics; Circuit Court of Appeals; Clean Water; 5� km south-west; District Court; planned to build; 
doc2103: anglais; builder; cor; territory; oboe; cor anglais; perfect fifth; middle C; technique used; Delaware River; children's books; school students; various points; future years; The Netherlands; following table; The stories; dates and times; The dates; take hold; 
doc2104: Radlett; percentage; problematic; neighbouring; identifying; highest proportion; Jewish population; Cavalry Brigade; actual number; spotted from; nearby areas; method used; spotted from the air; machine gun; only other; September 5; other areas; September 3; being the only; England and Wales; 
doc2105: Mamprusi; Hangzhou; Bendall; hypothesis; pharmaceuticals; comprehensive university; Athletic Hall; professional development; traditional Chinese; university located; younger sibling; arrival of Christianity; Italian painter; Northern Region; northern parts; South Pacific; entered into force; singled out; eldest sons; inducted into; 
doc2106: rectification; Manta; extrinsic; policeman; negotiations; certain conditions; recorded a demo; court to order; States Army; late 1980s; The group; In 1990; in the United States; United States; 
doc2107: Kaleidoscope's; unsuccessful; J-Man; championship; Paralympic; Australian Paralympic; winning the championship; unsuccessful in winning the championship; unsuccessful in winning; Empire State Wrestling; Cade Cassidy; Jacksonville Jaguars; minority students; After defeating; February 1968; Institute of Sport; good reviews; Title match; Purple Rain; Epic Records; 
doc2108: billion; schedules; outburst; Barnsley; standings; billion mark; automatic promotion; emotional outburst; population growth; there would; It reached; Sir Jack; days after; him into; his son; which he; would be; 
